name,type,displayName,pipLocation,marginRate,minimumTradeSize,maximumOrderUnits,maximumPositionSize,maximumTrailingStopDistance,minimumTrailingStopDistance,maximumDistance,minimumDistance,minimumPriceVariation
NZD_SGD,CURRENCY,NZD/SGD,-4,0.05,1,100000000,0,1.00000,0.00050,,,
USD_SGD,CURRENCY,USD/SGD,-4,0.05,1,100000000,0,1.00000,0.00050,,,
EUR_SEK,CURRENCY,EUR/SEK,-4,0.05,1,100000000,0,1.00000,0.00050,,,
XAU_CHF,METAL,Gold/CHF,-2,0.05,0.1,20000,0,100.000,0.050,,,
GBP_NZD,CURRENCY,GBP/NZD,-4,0.05,1,100000000,0,1.00000,0.00050,,,
USB05Y_USD,CFD,US 5Y T-Note,-2,0.20,1,200000,0,100.000,0.050,,,
SUGAR_USD,CFD,Sugar,-4,0.10,1,20000000,0,1.00000,0.00050,,,
EUR_PLN,CURRENCY,EUR/PLN,-4,0.05,1,100000000,0,1.00000,0.00050,,,
AUD_CAD,CURRENCY,AUD/CAD,-4,0.05,1,100000000,0,1.00000,0.00050,,,
UK10YB_GBP,CFD,UK 10Y Gilt,-2,0.20,1,100000,0,100.000,0.050,,,
GBP_CAD,CURRENCY,GBP/CAD,-4,0.03333333333333,1,100000000,0,1.00000,0.00050,,,
UK100_GBP,CFD,UK 100,0,0.05,0.1,500,0,10000.0,5.0,,,
USD_MXN,CURRENCY,USD/MXN,-4,0.05,1,100000000,0,1.00000,0.00050,,,
GBP_USD,CURRENCY,GBP/USD,-4,0.03333333333333,1,50000000,0,1.00000,0.00050,,,
AUD_USD,CURRENCY,AUD/USD,-4,0.05,1,100000000,0,1.00000,0.00050,,,
GBP_PLN,CURRENCY,GBP/PLN,-4,0.05,1,100000000,0,1.00000,0.00050,,,
USD_TRY,CURRENCY,USD/TRY,-4,0.25,1,10000000,0,1.00000,0.00050,,,
GBP_JPY,CURRENCY,GBP/JPY,-2,0.03333333333333,1,50000000,0,100.000,0.050,,,
WHEAT_USD,CFD,Wheat,-2,0.10,1,1000000,0,100.000,0.050,,,
SGD_CHF,CURRENCY,SGD/CHF,-4,0.05,1,100000000,0,1.00000,0.00050,,,
XAG_JPY,METAL,Silver/JPY,0,0.10,1,500000,0,10000.0,5.0,,,
SGD_JPY,CURRENCY,SGD/JPY,-2,0.05,1,100000000,0,100.000,0.050,,,
GBP_ZAR,CURRENCY,GBP/ZAR,-4,0.05,1,100000000,0,1.00000,0.00050,,,
USD_JPY,CURRENCY,USD/JPY,-2,0.03333333333333,1,100000000,0,100.000,0.050,,,
EUR_TRY,CURRENCY,EUR/TRY,-4,0.25,1,10000000,0,1.00000,0.00050,,,
EUR_JPY,CURRENCY,EUR/JPY,-2,0.03333333333333,1,100000000,0,100.000,0.050,,,
AUD_SGD,CURRENCY,AUD/SGD,-4,0.05,1,100000000,0,1.00000,0.00050,,,
XAG_NZD,METAL,Silver/NZD,-4,0.10,1,500000,0,1.00000,0.00050,,,
WTICO_USD,CFD,West Texas Oil,-2,0.10,1,100000,0,100.000,0.050,,,
XAG_AUD,METAL,Silver/AUD,-4,0.10,1,500000,0,1.00000,0.00050,,,
EUR_NZD,CURRENCY,EUR/NZD,-4,0.05,1,100000000,0,1.00000,0.00050,,,
GBP_HKD,CURRENCY,GBP/HKD,-4,0.1,1,100000000,0,1.00000,0.00050,,,
CHF_JPY,CURRENCY,CHF/JPY,-2,0.04,1,100000000,0,100.000,0.050,,,
EUR_HKD,CURRENCY,EUR/HKD,-4,0.1,1,100000000,0,1.00000,0.00050,,,
XAU_HKD,METAL,Gold/HKD,-2,0.05,0.1,20000,0,100.000,0.050,,,
XAU_JPY,METAL,Gold/JPY,1,0.05,0.1,20000,0,100000,50,,,
USD_THB,CURRENCY,USD/THB,-2,0.05,1,100000000,0,100.000,0.050,,,
GBP_CHF,CURRENCY,GBP/CHF,-4,0.04,1,100000000,0,1.00000,0.00050,,,
AUD_CHF,CURRENCY,AUD/CHF,-4,0.05,1,100000000,0,1.00000,0.00050,,,
NZD_CHF,CURRENCY,NZD/CHF,-4,0.05,1,100000000,0,1.00000,0.00050,,,
ESPIX_EUR,CFD,Spain 35,0,0.1,0.1,500,0,10000.0,5.0,,,
AUD_HKD,CURRENCY,AUD/HKD,-4,0.1,1,100000000,0,1.00000,0.00050,,,
XAG_HKD,METAL,Silver/HKD,-4,0.1,1,500000,0,1.00000,0.00050,,,
USD_CHF,CURRENCY,USD/CHF,-4,0.04,1,100000000,0,1.00000,0.00050,,,
XAG_CHF,METAL,Silver/CHF,-4,0.10,1,500000,0,1.00000,0.00050,,,
